index,individual1_x,individual1_y,individual2_x,individual2_y
img0045.png,646.0555556,212.5594408,669.0185185,394.4653871
img0050.png,640.8703704,215.9213073,686.7962963,374.3364788
img0055.png,646.7962963,213.3721459,685.3148148,360.5401914
img0060.png,649.7592593,213.2163376,637.1666667,375.8077542
img0065.png,649.0185185,215.8788604,623.0925926,368.825197
img0070.png,651.2407407,215.8095714,627.537037,341.8657635
img0077.png,646.7962963,215.4609158,674.9444444,391.4008105
img0083.png,595.6851852,153.3817555,739.3888889,440.8153571
img0085.png,571.9814815,131.6338769,741.6111111,448.8564031
img0090.png,555.6851852,93.99977982,738.6481481,437.8110233
img0095.png,541.6111111,171.4153308,743.0925926,438.3550176
img0100.png,495.6851852,329.5411265,740.1296296,441.7359548
img0104.png,481.6111111,356.4633807,749.0185185,445.3189953
img0110.png,514.2037037,348.5439613,741.6111111,441.6810324
img0115.png,560.8703704,336.4131552,731.9814815,444.4050637
img0120.png,606.7962963,265.8977303,711.2407407,463.4349539
img0125.png,638.6481481,208.7535784,760.1296296,451.8858502
img0130.png,671.9814815,209.7106111,781.6111111,333.1792658
img0135.png,677.9074074,207.1012215,714.9444444,285.2340086
img0140.png,682.3518519,205.8263097,696.4259259,286.4898313
img0145.png,687.537037,206.8346301,656.4259259,274.1918726
img0150.png,685.3148148,206.878904,634.2037037,272.724657
img0160.png,688.2777778,209.8871768,642.3518519,278.7592351
img0170.png,683.8333333,216.4316756,650.5,285.0492084
img0180.png,600.8703704,157.8960873,685.3148148,360.5126516
img0185.png,513.462963,95.92910235,684.5740741,365.6280683
img0190.png,490.5,237.5117644,682.3518519,363.1351348
img0195.png,500.8703704,314.4083252,680.1296296,362.9361431
img0200.png,506.7962963,320.0467308,684.5740741,365.3700943
img0205.png,526.0555556,315.877986,684.5740741,358.234178
img0210.png,534.2037037,297.168852,691.9814815,358.2748717
img0215.png,506.0555556,210.0322006,686.0555556,358.6210849
img0220.png,491.2407407,123.6925744,696.4259259,349.0037088
img0225.png,478.6481481,149.2031598,677.1666667,342.7128177
img0230.png,498.6481481,157.2742049,674.9444444,325.3855739
img0235.png,588.2777778,169.4880582,667.537037,308.7840516
img0240.png,622.3518519,231.6013027,669.0185185,302.8280839
